序号,电脑时间戳,接收时间戳,发送时间戳,时延（毫秒）,纬度,经度,海拔,速度（km/h）,锁星数,地面航向(度）,ID,msgCnt,TotalRcvMsgCount,TotalLostMsgCount,AID,Source_Layer2-ID,Dest MAC ID,Priority,Power(dBm),RSSI(dBm),SINR(dB),CBR(%),MCS,RSRP(dBm),EARFCN,Band,TB Size(bit),Type,Label
53,1699941102,1699941099,1699941100,-236.362,116.491486,39.729091,23.1,8.908,47,60.51,,25,48,79,3619,8000001,7,8,-123,-92,0,1,5,-123,55140,47,4264,SPAT,normal
54,1699941103,1699941099,1699941100,-236.587,116.491489,39.729092,23.1,8.908,47,60.51,696E636830303000,26,49,79,3619,8000001,7,8,-120,-91,3,1,5,-120,55140,47,4264,SPAT,normal
55,1699941103,1699941100,1699941100,-216.42,116.491498,39.729096,23.1,8.834,47,59.62,696E636830303000,30,50,82,3619,8000001,7,8,-123,-92,-1,2,5,-123,55140,47,4264,SPAT,normal
56,1699941103,1699941100,1699941100,-235.958,116.4915,39.729097,23.1,8.834,47,59.62,696E636830303000,31,51,82,3619,8000001,7,8,-123,-92,-1,2,5,-123,55140,47,4264,SPAT,normal
57,1699941103,1699941100,1699941100,-236.771,116.491502,39.729098,23.1,8.834,47,59.62,696E636830303000,32,52,82,3619,8000001,7,8,-120,-90,3,1,5,-120,55140,47,4264,SPAT,normal
59,1699941103,1699941100,1699941101,-223.482,116.491509,39.729101,23.1,8.834,47,59.62,696E636830303000,35,53,84,3619,8000001,7,8,-120,-90,3,1,5,-120,55140,47,4264,SPAT,normal
60,1699941104,1699941100,1699941101,-236.333,116.491512,39.729103,23.1,8.834,47,59.62,696E636830303000,36,54,84,3619,8000001,7,8,-117,-88,5,1,5,-117,55140,47,4264,SPAT,normal
61,1699941104,1699941101,1699941101,-235.921,116.491515,39.729104,23.1,8.834,47,59.62,696E636830303000,37,55,84,3619,8000001,7,8,-122,-92,0,1,5,-122,55140,47,4264,SPAT,normal
62,1699941104,1699941101,1699941101,-243.125,116.491517,39.729105,23,8.778,46,58.93,696E636830303000,38,56,84,3619,8000001,7,8,-119,-90,3,1,5,-119,55140,47,4264,SPAT,normal
64,1699941104,1699941101,1699941101,-227.774,116.491527,39.72911,23,8.778,46,58.93,696E636830303000,42,57,87,3619,8000001,7,8,-119,-90,3,1,5,-119,55140,47,4264,SPAT,normal
65,1699941104,1699941101,1699941101,-239.226,116.491529,39.729111,23,8.741,46,59.63,696E636830303000,43,58,87,3619,8000001,7,8,-119,-90,3,1,5,-119,55140,47,4264,SPAT,normal
67,1699941104,1699941101,1699941102,-216.487,116.491535,39.729113,23,8.778,46,58.93,696E636830303000,45,59,88,3619,8000001,7,8,-122,-92,0,2,5,-122,55140,47,4264,SPAT,normal
68,1699941105,1699941101,1699941102,-239.242,116.491537,39.729115,23,8.778,46,58.93,,46,60,88,3619,8000001,7,8,-122,-92,0,2,5,-122,55140,47,4264,SPAT,normal
69,1699941105,1699941102,1699941102,-238.984,116.49154,39.729116,23,8.741,46,59.63,696E636830303000,47,61,88,3619,8000001,7,8,-121,-91,2,1,5,-121,55140,47,4264,SPAT,normal
