序号,接收时间戳,发送时间戳,时延（毫秒）,msgCnt,TotalRcvMsgCount,TotalLostMsgCount,纬度,经度,海拔,速度（km/h）,锁星数,地面航向(度）,AID,ID,Source_Layer2-ID,Dest MAC ID,Priority,Power(dBm),RSSI(dBm),SINR(dB),CBR(%),MCS,RSRP(dBm),EARFCN,Band,TB Size(bit),Modulation,Type,Label
479,1699941138,1699941138,-236.638,26,391,121,116.492422,39.729548,23.1,8.964,41,56.77,3619,,8000001,7,8,-104,-76,15,0,5,-104,55140,47,4264,QPSK,SPAT,normal
480,1699941138,1699941138,-239.239,27,392,121,116.492424,39.72955,23.1,8.964,41,56.77,3619,,8000001,7,8,-101,-73,16,0,5,-101,55140,47,4264,QPSK,SPAT,normal
481,1699941138,1699941138,-242.823,28,393,121,116.492427,39.729551,23.1,8.964,41,56.77,3619,,8000001,7,8,-105,-78,14,0,5,-105,55140,47,4264,QPSK,SPAT,normal
482,1699941138,1699941138,-238.595,29,394,121,116.492429,39.729552,23.1,8.964,41,56.77,3619,,8000001,7,8,-103,-76,16,0,5,-103,55140,47,4264,QPSK,SPAT,normal
484,1699941138,1699941138,-242.986,30,395,121,116.492433,39.729554,23.1,8.964,41,56.77,3619,,8000001,7,8,-106,-78,12,1,5,-106,55140,47,4264,QPSK,SPAT,normal
485,1699941138,1699941138,-239.384,31,396,121,116.492435,39.729555,23.1,8.964,41,56.77,3619,,8000001,7,8,-101,-73,16,0,5,-101,55140,47,4264,QPSK,SPAT,normal
487,1699941138,1699941139,-240.656,32,397,121,116.492438,39.729556,23.1,8.964,41,56.77,3619,,8000001,7,8,-102,-74,15,1,5,-102,55140,47,4264,QPSK,SPAT,normal
488,1699941138,1699941139,-238.689,33,398,121,116.49244,39.729557,23.1,8.964,41,56.77,3619,,8000001,7,8,-108,-80,12,1,5,-108,55140,47,4264,QPSK,SPAT,normal
489,1699941138,1699941139,-236.2,34,399,121,116.492443,39.729558,23.1,8.964,41,56.77,3619,,8000001,7,8,-106,-78,15,0,5,-106,55140,47,4264,QPSK,SPAT,normal
490,1699941139,1699941139,-228.228,35,400,121,116.492446,39.72956,23.1,8.964,41,56.77,3619,,8000001,7,8,-106,-79,14,0,5,-106,55140,47,4264,QPSK,SPAT,normal
491,1699941139,1699941139,-235.382,36,401,121,116.492447,39.72956,23.2,9.019,43,58.14,3619,,8000001,7,8,-100,-72,14,1,5,-100,55140,47,4264,QPSK,SPAT,normal
492,1699941139,1699941139,-238.598,37,402,121,116.49245,39.729562,23.2,9.019,43,58.14,3619,,8000001,7,8,-106,-78,14,0,5,-106,55140,47,4264,QPSK,SPAT,normal
494,1699941139,1699941139,-232.214,38,403,121,116.492452,39.729563,23.2,9.019,43,58.14,3619,,8000001,7,8,-106,-78,13,0,5,-106,55140,47,4264,QPSK,SPAT,normal
495,1699941139,1699941139,-228.397,39,404,121,116.492454,39.729564,23.2,9.019,43,58.14,3619,,8000001,7,8,-109,-81,11,0,5,-109,55140,47,4264,QPSK,SPAT,normal
497,1699941139,1699941139,-237.981,40,405,121,116.492458,39.729566,23.2,9.019,43,58.14,3619,,8000001,7,8,-103,-75,16,0,5,-103,55140,47,4264,QPSK,SPAT,normal
498,1699941139,1699941139,-240.736,41,406,121,116.49246,39.729567,23.2,9.019,43,58.14,3619,,8000001,7,8,-104,-77,14,0,5,-104,55140,47,4264,QPSK,SPAT,normal
499,1699941139,1699941140,-241.577,42,407,121,116.492462,39.729568,23.2,9.019,43,58.14,3619,,8000001,7,8,-105,-78,15,0,5,-105,55140,47,4264,QPSK,SPAT,normal
500,1699941139,1699941140,-241.245,43,408,121,116.492465,39.72957,23.2,9.019,43,58.14,3619,,8000001,7,8,-105,-77,13,1,5,-105,55140,47,4264,QPSK,SPAT,normal
501,1699941139,1699941140,-241.415,44,409,121,116.492468,39.729571,23.2,9.019,43,58.14,3619,,8000001,7,8,-101,-73,15,0,5,-101,55140,47,4264,QPSK,SPAT,normal
503,1699941140,1699941140,-240.432,45,410,121,116.492471,39.729573,23.2,9.019,43,58.14,3619,,8000001,7,8,-101,-74,17,1,5,-101,55140,47,4264,QPSK,SPAT,normal
504,1699941140,1699941140,-229.955,46,411,121,116.492473,39.729574,23.2,9.075,44,58.57,3619,,8000001,7,8,-110,-83,12,0,5,-110,55140,47,4264,QPSK,SPAT,normal
505,1699941140,1699941140,-239.736,47,412,121,116.492474,39.729574,23.2,9.13,45,58.15,3619,,8000001,7,8,-99,-71,18,0,5,-99,55140,47,4264,QPSK,SPAT,normal
506,1699941140,1699941140,-236.004,48,413,121,116.492476,39.729576,23.2,9.075,44,58.57,3619,,8000001,7,8,-105,-78,14,0,5,-105,55140,47,4264,QPSK,SPAT,normal
507,1699941140,1699941140,-228.422,49,414,121,116.492478,39.729576,23.2,9.075,44,58.57,3619,,8000001,7,8,-105,-77,14,0,5,-105,55140,47,4264,QPSK,SPAT,normal
509,1699941140,1699941140,-236.507,50,415,121,116.492481,39.729578,23.2,9.075,44,58.57,3619,,8000001,7,8,-111,-83,11,1,5,-111,55140,47,4264,QPSK,SPAT,normal
511,1699941140,1699941140,-240.427,51,416,121,116.492483,39.729579,23.2,9.075,44,58.57,3619,,8000001,7,8,-105,-78,14,1,5,-105,55140,47,4264,QPSK,SPAT,normal
512,1699941140,1699941141,-236.528,52,417,121,116.492485,39.72958,23.2,9.075,44,58.57,3619,,8000001,7,8,-107,-80,14,0,5,-107,55140,47,4264,QPSK,SPAT,normal
513,1699941140,1699941141,-239.873,53,418,121,116.492487,39.729581,23.2,9.075,44,58.57,3619,,8000001,7,8,-101,-74,16,1,5,-101,55140,47,4264,QPSK,SPAT,normal
514,1699941140,1699941141,-243.778,54,419,121,116.492489,39.729582,23.2,9.075,44,58.57,3619,,8000001,7,8,-106,-78,15,0,5,-106,55140,47,4264,QPSK,SPAT,normal
515,1699941141,1699941141,-239.362,55,420,121,116.492492,39.729583,23.2,9.075,44,58.57,3619,,8000001,7,8,-109,-81,14,1,5,-109,55140,47,4264,QPSK,SPAT,normal
516,1699941141,1699941141,-237.771,56,421,121,116.492495,39.729584,23.2,9.075,44,58.57,3619,,8000001,7,8,-102,-75,16,0,5,-102,55140,47,4264,QPSK,SPAT,normal
518,1699941141,1699941141,-238.767,57,422,121,116.492497,39.729585,23.2,9.13,45,58.15,3619,,8000001,7,8,-108,-80,14,0,5,-108,55140,47,4264,QPSK,SPAT,normal
519,1699941141,1699941141,-243.277,58,423,121,116.4925,39.729587,23.2,9.13,45,58.15,3619,,8000001,7,8,-106,-79,15,0,5,-106,55140,47,4264,QPSK,SPAT,normal
520,1699941141,1699941141,-240.28,59,424,121,116.492503,39.729588,23.2,9.13,45,58.15,3619,,8000001,7,8,-106,-78,15,0,5,-106,55140,47,4264,QPSK,SPAT,normal
521,1699941141,1699941141,-242.625,60,425,121,116.492507,39.72959,23.2,9.13,45,58.15,3619,,8000001,7,8,-97,-70,17,0,5,-97,55140,47,4264,QPSK,SPAT,normal
522,1699941141,1699941141,-238.745,61,426,121,116.492509,39.729591,23.2,9.13,45,58.15,3619,,8000001,7,8,-107,-79,14,0,5,-107,55140,47,4264,QPSK,SPAT,normal
523,1699941141,1699941142,-243.601,62,427,121,116.492512,39.729592,23.2,9.13,45,58.15,3619,,8000001,7,8,-98,-70,16,0,5,-98,55140,47,4264,QPSK,SPAT,normal
525,1699941141,1699941142,-239.487,63,428,121,116.492515,39.729594,23.2,9.13,45,58.15,3619,,8000001,7,8,-103,-76,16,0,5,-103,55140,47,4264,QPSK,SPAT,normal
526,1699941141,1699941142,-242.234,64,429,121,116.492518,39.729595,23.2,9.149,45,58.84,3619,,8000001,7,8,-100,-73,16,0,5,-100,55140,47,4264,QPSK,SPAT,normal
527,1699941142,1699941142,-241.736,65,430,121,116.492521,39.729596,23.2,9.13,45,58.15,3619,,8000001,7,8,-102,-75,16,0,5,-102,55140,47,4264,QPSK,SPAT,normal
528,1699941142,1699941142,-242.987,66,431,121,116.492524,39.729598,23.2,9.149,45,58.84,3619,,8000001,7,8,-104,-77,13,1,5,-104,55140,47,4264,QPSK,SPAT,normal
529,1699941142,1699941142,-235.506,67,432,121,116.492526,39.729599,23.2,9.149,45,58.84,3619,,8000001,7,8,-106,-78,12,0,5,-106,55140,47,4264,QPSK,SPAT,normal
530,1699941142,1699941142,-235.235,68,433,121,116.492527,39.729599,23.2,9.149,45,58.84,3619,,8000001,7,8,-98,-70,16,0,5,-98,55140,47,4264,QPSK,SPAT,normal
532,1699941142,1699941142,-231.282,69,434,121,116.49253,39.729601,23.3,9.149,42,58.3,3619,,8000001,7,8,-103,-76,13,0,5,-103,55140,47,4264,QPSK,SPAT,normal
534,1699941142,1699941142,-235.418,70,435,121,116.492535,39.729603,23.2,9.149,45,58.84,3619,,8000001,7,8,-107,-79,14,1,5,-107,55140,47,4264,QPSK,SPAT,normal
535,1699941142,1699941142,-238.333,71,436,121,116.492537,39.729604,23.2,9.149,45,58.84,3619,,8000001,7,8,-106,-79,14,0,5,-106,55140,47,4264,QPSK,SPAT,normal
536,1699941142,1699941143,-240.389,72,437,121,116.492539,39.729605,23.2,9.149,45,58.84,3619,,8000001,7,8,-101,-74,16,0,5,-101,55140,47,4264,QPSK,SPAT,normal
537,1699941142,1699941143,-237.926,73,438,121,116.492541,39.729606,23.2,9.149,45,58.84,3619,,8000001,7,8,-101,-73,16,0,5,-101,55140,47,4264,QPSK,SPAT,normal
538,1699941142,1699941143,-242.193,74,439,121,116.492543,39.729607,23.2,9.149,45,58.84,3619,,8000001,7,8,-102,-75,16,0,5,-102,55140,47,4264,QPSK,SPAT,normal
540,1699941143,1699941143,-230.807,75,440,121,116.492546,39.729608,23.2,9.149,45,58.84,3619,,8000001,7,8,-102,-74,17,1,5,-102,55140,47,4264,QPSK,SPAT,normal
541,1699941143,1699941143,-241.802,76,441,121,116.492548,39.729609,23.3,9.149,42,58.3,3619,,8000001,7,8,-101,-73,16,0,5,-101,55140,47,4264,QPSK,SPAT,normal
542,1699941143,1699941143,-238.69,77,442,121,116.49255,39.72961,23.3,9.149,42,58.3,3619,,8000001,7,8,-101,-74,17,0,5,-101,55140,47,4264,QPSK,SPAT,normal
543,1699941143,1699941143,-242.632,78,443,121,116.492551,39.729611,23.3,9.149,42,58.3,3619,,8000001,7,8,-105,-77,13,0,5,-105,55140,47,4264,QPSK,SPAT,normal
545,1699941143,1699941143,-228.876,79,444,121,116.492555,39.729613,23.3,9.149,42,58.3,3619,,8000001,7,8,-106,-67,6,0,5,-106,55140,47,4264,QPSK,SPAT,normal
546,1699941143,1699941143,-241.661,80,445,121,116.492557,39.729615,23.3,9.149,42,58.3,3619,,8000001,7,8,-102,-75,17,0,5,-102,55140,47,4264,QPSK,SPAT,normal
548,1699941143,1699941143,-231.117,81,446,121,116.492559,39.729616,23.3,9.149,42,58.3,3619,,8000001,7,8,-112,-84,12,0,5,-112,55140,47,4264,QPSK,SPAT,normal
549,1699941143,1699941144,-242.337,82,447,121,116.492561,39.729617,23.3,9.149,42,58.3,3619,,8000001,7,8,-95,-68,17,0,5,-95,55140,47,4264,QPSK,SPAT,normal
550,1699941143,1699941144,-238.375,83,448,121,116.492564,39.729619,23.3,9.149,42,58.3,3619,CCC747DFBE6C0100,8000001,7,8,-100,-72,18,0,5,-100,55140,47,4264,QPSK,SPAT,normal
551,1699941143,1699941144,-241.496,84,449,121,116.492565,39.72962,23.3,9.149,42,58.3,3619,,8000001,7,8,-103,-75,16,0,5,-103,55140,47,4264,QPSK,SPAT,normal
552,1699941144,1699941144,-233.157,85,450,121,116.492568,39.729622,23.3,8.834,42,57.98,3619,,8000001,7,8,-95,-68,18,0,5,-95,55140,47,4264,QPSK,SPAT,normal
553,1699941144,1699941144,-242.374,86,451,121,116.49257,39.729623,23.3,8.834,42,57.98,3619,,8000001,7,8,-107,-78,13,0,5,-107,55140,47,4264,QPSK,SPAT,normal
555,1699941144,1699941144,-234.052,87,452,121,116.492573,39.729624,23.3,8.834,42,57.98,3619,,8000001,7,8,-97,-69,14,1,5,-97,55140,47,4264,QPSK,SPAT,normal
556,1699941144,1699941144,-242.503,88,453,121,116.492576,39.729626,23.3,8.834,42,57.98,3619,CCC747DFBE6C0100,8000001,7,8,-96,-69,17,2,5,-96,55140,47,4264,QPSK,SPAT,normal
558,1699941144,1699941144,-236.889,89,454,121,116.492578,39.729627,23.3,8.834,42,57.98,3619,,8000001,7,8,-103,-75,13,0,5,-103,55140,47,4264,QPSK,SPAT,normal
559,1699941144,1699941144,-241.919,90,455,121,116.492581,39.729628,23.4,8.927,42,57.3,3619,,8000001,7,8,-95,-68,15,2,5,-95,55140,47,4264,QPSK,SPAT,normal
560,1699941144,1699941144,-238.25,91,456,121,116.492584,39.72963,23.3,8.834,42,57.98,3619,CCC747DFBE6C0100,8000001,7,8,-93,-66,16,1,5,-93,55140,47,4264,QPSK,SPAT,normal
561,1699941144,1699941145,-241.581,92,457,121,116.492586,39.729631,23.3,8.834,42,57.98,3619,,8000001,7,8,-100,-72,15,0,5,-100,55140,47,4264,QPSK,SPAT,normal
563,1699941144,1699941145,-237.104,93,458,121,116.492588,39.729632,23.3,8.834,42,57.98,3619,,8000001,7,8,-103,-76,16,0,5,-103,55140,47,4264,QPSK,SPAT,normal
564,1699941144,1699941145,-240.564,94,459,121,116.492591,39.729634,23.3,8.834,42,57.98,3619,,8000001,7,8,-106,-78,13,0,5,-106,55140,47,4264,QPSK,SPAT,normal
565,1699941145,1699941145,-237.959,95,460,121,116.492593,39.729635,23.3,8.834,42,57.98,3619,,8000001,7,8,-101,-74,17,0,5,-101,55140,47,4264,QPSK,SPAT,normal
566,1699941145,1699941145,-240.708,96,461,121,116.492596,39.729636,23.4,8.927,42,57.3,3619,,8000001,7,8,-100,-73,13,0,5,-100,55140,47,4264,QPSK,SPAT,normal
567,1699941145,1699941145,-236.349,97,462,121,116.492597,39.729637,23.4,8.927,42,57.3,3619,,8000001,7,8,-99,-72,15,0,5,-99,55140,47,4264,QPSK,SPAT,normal
568,1699941145,1699941145,-242.627,98,463,121,116.4926,39.729639,23.4,8.927,42,57.3,3619,,8000001,7,8,-100,-73,16,0,5,-100,55140,47,4264,QPSK,SPAT,normal
570,1699941145,1699941145,-236.508,99,464,121,116.492601,39.72964,23.4,8.927,42,57.3,3619,,8000001,7,8,-99,-72,16,0,5,-99,55140,47,4264,QPSK,SPAT,normal
572,1699941145,1699941145,-240.446,100,465,121,116.492604,39.729641,23.5,8.982,44,56.48,3619,,8000001,7,8,-100,-72,16,0,5,-100,55140,47,4264,QPSK,SPAT,normal
573,1699941145,1699941145,-235.963,101,466,121,116.492606,39.729642,23.4,8.927,42,57.3,3619,,8000001,7,8,-100,-72,16,0,5,-100,55140,47,4264,QPSK,SPAT,normal
574,1699941145,1699941146,-240.119,102,467,121,116.492608,39.729643,23.4,8.927,42,57.3,3619,,8000001,7,8,-100,-72,15,0,5,-100,55140,47,4264,QPSK,SPAT,normal
575,1699941145,1699941146,-237.676,103,468,121,116.49261,39.729645,23.4,8.927,42,57.3,3619,,8000001,7,8,-102,-74,16,0,5,-102,55140,47,4264,QPSK,SPAT,normal
576,1699941145,1699941146,-240.037,104,469,121,116.492612,39.729646,23.4,8.927,42,57.3,3619,,8000001,7,8,-100,-73,16,0,5,-100,55140,47,4264,QPSK,SPAT,normal
577,1699941146,1699941146,-236.787,105,470,121,116.492615,39.729647,23.4,8.927,42,57.3,3619,,8000001,7,8,-96,-69,15,0,5,-96,55140,47,4264,QPSK,SPAT,normal
579,1699941146,1699941146,-239.409,106,471,121,116.492616,39.729648,23.4,8.927,42,57.3,3619,,8000001,7,8,-101,-73,15,0,5,-101,55140,47,4264,QPSK,SPAT,normal
580,1699941146,1699941146,-236.017,107,472,121,116.492619,39.729649,23.5,8.982,44,56.48,3619,,8000001,7,8,-100,-72,14,0,5,-100,55140,47,4264,QPSK,SPAT,normal
581,1699941146,1699941146,-232.646,108,473,121,116.492622,39.729651,23.5,8.982,44,56.48,3619,,8000001,7,8,-100,-73,16,0,5,-100,55140,47,4264,QPSK,SPAT,normal
583,1699941146,1699941146,-235.547,109,474,121,116.492625,39.729652,23.5,8.982,44,56.48,3619,,8000001,7,8,-100,-73,15,0,5,-100,55140,47,4264,QPSK,SPAT,normal
584,1699941146,1699941146,-239.506,110,475,121,116.492627,39.729653,23.6,8.964,44,58.36,3619,,8000001,7,8,-102,-75,15,0,5,-102,55140,47,4264,QPSK,SPAT,normal
585,1699941146,1699941146,-234.894,111,476,121,116.49263,39.729655,23.5,8.982,44,56.48,3619,,8000001,7,8,-101,-73,15,0,5,-101,55140,47,4264,QPSK,SPAT,normal
587,1699941146,1699941147,-242.437,112,477,121,116.492634,39.729657,23.5,8.982,44,56.48,3619,,8000001,7,8,-98,-70,16,0,5,-98,55140,47,4264,QPSK,SPAT,normal
588,1699941146,1699941147,-235.349,113,478,121,116.492636,39.729657,23.5,8.982,44,56.48,3619,,8000001,7,8,-102,-74,16,0,5,-102,55140,47,4264,QPSK,SPAT,normal
589,1699941146,1699941147,-238.995,114,479,121,116.492639,39.729659,23.5,8.982,44,56.48,3619,,8000001,7,8,-101,-73,16,0,5,-101,55140,47,4264,QPSK,SPAT,normal
590,1699941147,1699941147,-243.271,115,480,121,116.492642,39.72966,23.6,8.964,44,58.36,3619,,8000001,7,8,-98,-71,16,0,5,-98,55140,47,4264,QPSK,SPAT,normal
591,1699941147,1699941147,-236.696,116,481,121,116.492644,39.729661,23.6,8.964,44,58.36,3619,,8000001,7,8,-106,-78,15,0,5,-106,55140,47,4264,QPSK,SPAT,normal
592,1699941147,1699941147,-237.351,117,482,121,116.492646,39.729662,23.6,8.964,44,58.36,3619,,8000001,7,8,-102,-75,13,0,5,-102,55140,47,4264,QPSK,SPAT,normal
594,1699941147,1699941147,-239.292,118,483,121,116.492649,39.729663,23.6,8.964,44,58.36,3619,,8000001,7,8,-103,-76,13,0,5,-103,55140,47,4264,QPSK,SPAT,normal
596,1699941147,1699941147,-243.692,119,484,121,116.492651,39.729664,23.6,8.964,44,58.36,3619,,8000001,7,8,-103,-75,12,0,5,-103,55140,47,4264,QPSK,SPAT,normal
597,1699941147,1699941147,-238.841,120,485,121,116.492654,39.729665,23.6,8.964,44,58.36,3619,,8000001,7,8,-103,-75,15,0,5,-103,55140,47,4264,QPSK,SPAT,normal
598,1699941147,1699941147,-242.38,121,486,121,116.492657,39.729666,23.6,8.964,44,58.36,3619,797A687523323334,8000001,7,8,-103,-76,15,0,5,-103,55140,47,4264,QPSK,SPAT,normal
599,1699941147,1699941148,-240.31,122,487,121,116.492659,39.729667,23.6,8.964,44,58.36,3619,,8000001,7,8,-105,-78,11,0,5,-105,55140,47,4264,QPSK,SPAT,normal
600,1699941147,1699941148,-239.251,123,488,121,116.492661,39.729668,23.7,8.834,42,57.73,3619,,8000001,7,8,-107,-80,12,0,5,-107,55140,47,4264,QPSK,SPAT,normal
602,1699941147,1699941148,-238.972,124,489,121,116.492663,39.729669,23.6,8.964,44,58.36,3619,,8000001,7,8,-100,-73,15,0,5,-100,55140,47,4264,QPSK,SPAT,normal
603,1699941148,1699941148,-242.613,125,490,121,116.492666,39.729671,23.7,8.834,42,57.73,3619,,8000001,7,8,-109,-81,12,0,5,-109,55140,47,4264,QPSK,SPAT,normal
604,1699941148,1699941148,-238.213,126,491,121,116.492668,39.729672,23.7,8.834,42,57.73,3619,,8000001,7,8,-105,-78,14,0,5,-105,55140,47,4264,QPSK,SPAT,normal
605,1699941148,1699941148,-243.375,127,492,121,116.49267,39.729672,23.7,8.834,42,57.73,3619,,8000001,7,8,-109,-81,11,0,5,-109,55140,47,4264,QPSK,SPAT,normal
606,1699941148,1699941148,-239.777,1,493,122,116.492672,39.729673,23.7,8.834,42,57.73,3619,,8000001,7,8,-102,-74,12,0,5,-102,55140,47,4264,QPSK,SPAT,normal
607,1699941148,1699941148,-242.71,2,494,122,116.492675,39.729674,23.7,8.834,42,57.73,3619,,8000001,7,8,-101,-74,14,0,5,-101,55140,47,4264,QPSK,SPAT,normal
610,1699941148,1699941148,-239.076,3,495,122,116.492678,39.729676,23.7,8.834,42,57.73,3619,,8000001,7,8,-102,-74,15,1,5,-102,55140,47,4264,QPSK,SPAT,normal
611,1699941148,1699941148,-242.143,4,496,122,116.492681,39.729677,23.7,8.834,42,57.73,3619,,8000001,7,8,-100,-73,17,0,5,-100,55140,47,4264,QPSK,SPAT,normal
612,1699941148,1699941149,-235.428,5,497,122,116.492684,39.729679,23.7,8.834,42,57.73,3619,CCC747DFBE6C0100,8000001,7,8,-103,-75,16,1,5,-103,55140,47,4264,QPSK,SPAT,normal
613,1699941148,1699941149,-243.081,6,498,122,116.492686,39.72968,23.7,8.834,42,57.73,3619,,8000001,7,8,-103,-75,15,0,5,-103,55140,47,4264,QPSK,SPAT,normal
614,1699941149,1699941149,-237.035,7,499,122,116.492688,39.729681,23.7,8.834,42,57.73,3619,,8000001,7,8,-104,-76,15,0,5,-104,55140,47,4264,QPSK,SPAT,normal
615,1699941149,1699941149,-239.189,8,500,122,116.492691,39.729682,23.7,8.76,44,57.83,3619,,8000001,7,8,-103,-76,15,1,5,-103,55140,47,4264,QPSK,SPAT,normal
617,1699941149,1699941149,-237.564,9,501,122,116.492694,39.729684,23.7,8.76,44,57.83,3619,,8000001,7,8,-99,-72,17,0,5,-99,55140,47,4264,QPSK,SPAT,normal
618,1699941149,1699941149,-242.433,10,502,122,116.492695,39.729684,23.7,8.76,44,57.83,3619,,8000001,7,8,-102,-75,14,0,5,-102,55140,47,4264,QPSK,SPAT,normal
619,1699941149,1699941149,-238.571,11,503,122,116.492698,39.729686,23.7,8.76,44,57.83,3619,,8000001,7,8,-101,-74,14,0,5,-101,55140,47,4264,QPSK,SPAT,normal
621,1699941149,1699941149,-241.519,12,504,122,116.4927,39.729687,23.7,8.76,44,57.83,3619,,8000001,7,8,-98,-71,17,0,5,-98,55140,47,4264,QPSK,SPAT,normal
622,1699941149,1699941149,-238.055,13,505,122,116.492703,39.729688,23.7,8.741,42,57.66,3619,,8000001,7,8,-102,-75,15,0,5,-102,55140,47,4264,QPSK,SPAT,normal
623,1699941149,1699941149,-242.366,14,506,122,116.492705,39.729689,23.7,8.76,44,57.83,3619,,8000001,7,8,-102,-74,14,1,5,-102,55140,47,4264,QPSK,SPAT,normal
624,1699941149,1699941150,-240.584,15,507,122,116.492707,39.72969,23.7,8.76,44,57.83,3619,,8000001,7,8,-100,-73,14,0,5,-100,55140,47,4264,QPSK,SPAT,normal
626,1699941149,1699941150,-242.084,16,508,122,116.492708,39.729691,23.7,8.76,44,57.83,3619,,8000001,7,8,-100,-72,15,0,5,-100,55140,47,4264,QPSK,SPAT,normal
627,1699941149,1699941150,-237.676,17,509,122,116.49271,39.729692,23.7,8.76,44,57.83,3619,,8000001,7,8,-98,-70,17,0,5,-98,55140,47,4264,QPSK,SPAT,normal
628,1699941150,1699941150,-236.746,18,510,122,116.492713,39.729693,23.7,8.76,44,57.83,3619,,8000001,7,8,-99,-71,14,0,5,-99,55140,47,4264,QPSK,SPAT,normal
629,1699941150,1699941150,-237.76,19,511,122,116.492714,39.729694,23.7,8.741,42,57.66,3619,,8000001,7,8,-100,-72,14,0,5,-100,55140,47,4264,QPSK,SPAT,normal
630,1699941150,1699941150,-236.146,20,512,122,116.492716,39.729695,23.7,8.741,42,57.66,3619,,8000001,7,8,-98,-70,15,0,5,-98,55140,47,4264,QPSK,SPAT,normal
631,1699941150,1699941150,-237.893,21,513,122,116.492718,39.729695,23.7,8.741,42,57.66,3619,,8000001,7,8,-97,-69,16,0,5,-97,55140,47,4264,QPSK,SPAT,normal
634,1699941150,1699941150,-232.775,22,514,122,116.49272,39.729697,23.7,8.741,42,57.66,3619,,8000001,7,8,-98,-70,17,0,5,-98,55140,47,4264,QPSK,SPAT,normal
635,1699941150,1699941150,-233.521,23,515,122,116.492723,39.729698,23.7,8.741,42,57.66,3619,,8000001,7,8,-94,-67,18,3,5,-94,55140,47,4264,QPSK,SPAT,normal
636,1699941150,1699941150,-241.524,24,516,122,116.492726,39.729699,23.6,8.667,45,58.15,3619,,8000001,7,8,-100,-72,16,1,5,-100,55140,47,4264,QPSK,SPAT,normal
637,1699941150,1699941151,-236.939,25,517,122,116.492728,39.7297,23.7,8.741,42,57.66,3619,,8000001,7,8,-104,-76,14,0,5,-104,55140,47,4264,QPSK,SPAT,normal
638,1699941150,1699941151,-241.171,26,518,122,116.492731,39.729701,23.7,8.741,42,57.66,3619,,8000001,7,8,-95,-68,15,0,5,-95,55140,47,4264,QPSK,SPAT,normal
639,1699941151,1699941151,-242.068,27,519,122,116.492732,39.729702,23.6,8.667,45,58.15,3619,,8000001,7,8,-97,-70,15,0,5,-97,55140,47,4264,QPSK,SPAT,normal
641,1699941151,1699941151,-240.04,28,520,122,116.492735,39.729704,23.7,8.741,42,57.66,3619,,8000001,7,8,-97,-70,16,2,5,-97,55140,47,4264,QPSK,SPAT,normal
642,1699941151,1699941151,-237.368,29,521,122,116.492737,39.729705,23.7,8.741,42,57.66,3619,,8000001,7,8,-98,-71,16,0,5,-98,55140,47,4264,QPSK,SPAT,normal
643,1699941151,1699941151,-240.781,30,522,122,116.492739,39.729705,23.6,8.667,45,58.15,3619,,8000001,7,8,-102,-75,16,0,5,-102,55140,47,4264,QPSK,SPAT,normal
644,1699941151,1699941151,-237.265,31,523,122,116.492743,39.729707,23.6,8.667,45,58.15,3619,,8000001,7,8,-102,-75,14,1,5,-102,55140,47,4264,QPSK,SPAT,normal
646,1699941151,1699941151,-240.045,32,524,122,116.492746,39.729708,23.7,8.612,43,57.48,3619,,8000001,7,8,-103,-75,15,0,5,-103,55140,47,4264,QPSK,SPAT,normal
647,1699941151,1699941151,-237.209,33,525,122,116.492749,39.729709,23.7,8.612,43,57.48,3619,CCC747DFBE6C0100,8000001,7,8,-103,-76,14,2,5,-103,55140,47,4264,QPSK,SPAT,normal
649,1699941151,1699941151,-241.243,34,526,122,116.492752,39.729711,23.6,8.667,45,58.15,3619,,8000001,7,8,-100,-72,15,0,5,-100,55140,47,4264,QPSK,SPAT,normal
650,1699941151,1699941152,-242.14,35,527,122,116.492753,39.729711,23.6,8.667,45,58.15,3619,,8000001,7,8,-100,-72,16,0,5,-100,55140,47,4264,QPSK,SPAT,normal
651,1699941151,1699941152,-241.33,36,528,122,116.492755,39.729712,23.6,8.667,45,58.15,3619,,8000001,7,8,-100,-73,14,0,5,-100,55140,47,4264,QPSK,SPAT,normal
652,1699941152,1699941152,-240.753,37,529,122,116.492758,39.729713,23.7,8.612,43,57.48,3619,,8000001,7,8,-99,-72,16,0,5,-99,55140,47,4264,QPSK,SPAT,normal
653,1699941152,1699941152,-239.33,38,530,122,116.492762,39.729715,23.7,8.612,43,57.48,3619,,8000001,7,8,-100,-73,14,1,5,-100,55140,47,4264,QPSK,SPAT,normal
654,1699941152,1699941152,-237.606,39,531,122,116.492764,39.729716,23.7,8.612,43,57.48,3619,,8000001,7,8,-100,-73,13,0,5,-100,55140,47,4264,QPSK,SPAT,normal
656,1699941152,1699941152,-240.557,40,532,122,116.492766,39.729717,23.7,8.612,43,57.48,3619,,8000001,7,8,-98,-70,18,0,5,-98,55140,47,4264,QPSK,SPAT,normal
657,1699941152,1699941152,-238.84,41,533,122,116.492767,39.729718,23.7,8.575,43,57.5,3619,,8000001,7,8,-100,-72,14,0,5,-100,55140,47,4264,QPSK,SPAT,normal
659,1699941152,1699941152,-239.169,42,534,122,116.49277,39.729719,23.7,8.612,43,57.48,3619,,8000001,7,8,-100,-73,16,0,5,-100,55140,47,4264,QPSK,SPAT,normal
